20:03:38	USE clinica_medica_db	0 row(s) affected	0,000 sec
20:03:38	SELECT p.nome AS paciente, ex.nome_exame, ex.data_realizacao, ex.resultado  FROM EXAME ex  JOIN CONSULTA c ON ex.id_consulta = c.id_consulta  JOIN PACIENTE p ON c.id_paciente = p.id_paciente  WHERE ex.status = 'realizado' LIMIT 0, 1000	2 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT p.nome AS paciente, c.data_consulta, c.hora_consulta, c.status  FROM CONSULTA c  JOIN PACIENTE p ON c.id_paciente = p.id_paciente  WHERE c.id_medico = 1 ORDER BY c.data_consulta, c.hora_consulta LIMIT 0, 1000	1 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT p.nome AS paciente, r.medicamentos, r.validade  FROM RECEITA r  JOIN CONSULTA c ON r.id_consulta = c.id_consulta  JOIN PACIENTE p ON c.id_paciente = p.id_paciente  WHERE r.validade >= CURRENT_DATE LIMIT 0, 1000	0 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT      (SELECT COUNT(*) FROM PACIENTE WHERE status = 'ativo') AS pacientes_ativos,     (SELECT COUNT(*) FROM MEDICO WHERE status = 'ativo') AS medicos_ativos,     (SELECT COUNT(*) FROM CONSULTA WHERE status = 'agendada') AS consultas_agendadas,     (SELECT COUNT(*) FROM EXAME WHERE status = 'solicitado') AS exames_pendentes LIMIT 0, 1000	1 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT forma_pagamento, COUNT(*) AS quantidade, SUM(valor_pago) AS total  FROM PAGAMENTO WHERE status = 'pago' GROUP BY forma_pagamento LIMIT 0, 1000	4 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT p.nome AS paciente, m.nome AS medico, c.data_consulta, c.observacoes  FROM CONSULTA c  JOIN PACIENTE p ON c.id_paciente = p.id_paciente  JOIN MEDICO m ON c.id_medico = m.id_medico  WHERE c.status = 'cancelada' LIMIT 0, 1000	1 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT p.nome AS paciente, m.nome AS medico, c.data_consulta, c.hora_consulta  FROM CONSULTA c  JOIN PACIENTE p ON c.id_paciente = p.id_paciente  JOIN MEDICO m ON c.id_medico = m.id_medico  WHERE c.status = 'agendada' AND c.data_consulta BETWEEN CURRENT_DATE AND DATE_ADD(CURRENT_DATE, INTERVAL 7 DAY) LIMIT 0, 1000	0 row(s) returned	0,000 sec / 0,000 sec

20:03:38	SELECT 'Consultas executadas com sucesso!' AS status LIMIT 0, 1000	1 row(s) returned	0,000 sec / 0,000 sec
